Type,Replicate,Temperature,Water activity,Moisture content (% wet basis),Moisture content (% dry basis)
Roasted beans,1,25,0.097,2.070,2.114
Roasted beans,1,25,0.147,2.080,2.124
Roasted beans,1,25,0.271,2.090,2.135
Roasted beans,1,25,0.358,2.110,2.155
Roasted beans,1,25,0.439,2.130,2.176
Roasted beans,1,25,0.492,2.150,2.197
Roasted beans,1,25,0.534,2.150,2.197
Roasted beans,1,25,0.564,2.170,2.218
Roasted beans,1,25,0.587,2.180,2.229
Roasted beans,1,25,0.604,2.190,2.239
Roasted beans,1,25,0.621,2.210,2.260
Roasted beans,1,25,0.632,2.220,2.270
Roasted beans,1,25,0.641,2.220,2.270
Roasted beans,1,25,0.650,2.230,2.281
Roasted beans,1,25,0.658,2.250,2.302
Roasted beans,1,25,0.665,2.260,2.312
Roasted beans,1,25,0.674,2.260,2.312
Roasted beans,1,25,0.679,2.270,2.323
Roasted beans,1,25,0.689,2.290,2.344
Roasted beans,1,25,0.696,2.300,2.354
Roasted beans,1,25,0.703,2.320,2.375
Roasted beans,1,25,0.711,2.330,2.386
Roasted beans,1,25,0.719,2.340,2.396
Roasted beans,1,25,0.727,2.360,2.417
Roasted beans,1,25,0.734,2.380,2.438
Roasted beans,1,25,0.743,2.410,2.470
Roasted beans,1,25,0.751,2.430,2.491
Roasted beans,1,25,0.760,2.470,2.533
Roasted beans,1,25,0.768,2.500,2.564
Roasted beans,1,25,0.777,2.540,2.606
Roasted beans,1,25,0.784,2.580,2.648
Roasted beans,1,25,0.793,2.620,2.690
Roasted beans,1,25,0.802,2.670,2.743
Roasted beans,1,25,0.809,2.720,2.796
Roasted beans,1,25,0.818,2.780,2.859
Roasted beans,1,25,0.827,2.840,2.923
Roasted beans,1,25,0.835,2.900,2.987
Roasted beans,1,25,0.843,2.980,3.072
Roasted beans,1,25,0.851,3.060,3.157
Roasted beans,1,25,0.859,3.160,3.263
Roasted beans,1,25,0.863,3.250,3.359
Roasted beans,1,25,0.863,3.360,3.477
Roasted beans,1,25,0.868,4.510,4.723
Roasted beans,1,25,0.871,5.720,6.067
Roasted beans,1,25,0.879,6.080,6.474
Roasted beans,1,25,0.883,6.550,7.009
Roasted beans,1,25,0.886,7.200,7.759
Roasted beans,1,25,0.887,7.700,8.342
Roasted beans,1,25,0.892,8.050,8.755
Roasted beans,1,25,0.894,8.330,9.087
Roasted beans,1,25,0.899,8.570,9.373
Roasted beans,1,25,0.900,9.120,10.035
Roasted beans,2,25,0.098,2.260,2.312
Roasted beans,2,25,0.121,2.180,2.229
Roasted beans,2,25,0.218,2.210,2.260
Roasted beans,2,25,0.293,2.220,2.270
Roasted beans,2,25,0.357,2.250,2.302
Roasted beans,2,25,0.414,2.260,2.312
Roasted beans,2,25,0.457,2.270,2.323
Roasted beans,2,25,0.491,2.290,2.344
Roasted beans,2,25,0.519,2.300,2.354
Roasted beans,2,25,0.540,2.310,2.365
Roasted beans,2,25,0.558,2.320,2.375
Roasted beans,2,25,0.570,2.320,2.375
Roasted beans,2,25,0.587,2.300,2.354
Roasted beans,2,25,0.597,2.320,2.375
Roasted beans,2,25,0.606,2.350,2.407
Roasted beans,2,25,0.615,2.380,2.438
Roasted beans,2,25,0.621,2.410,2.470
Roasted beans,2,25,0.627,2.440,2.501
Roasted beans,2,25,0.638,2.480,2.543
Roasted beans,2,25,0.644,2.510,2.575
Roasted beans,2,25,0.653,2.540,2.606
Roasted beans,2,25,0.660,2.560,2.627
Roasted beans,2,25,0.667,2.490,2.554
Roasted beans,2,25,0.674,2.500,2.564
Roasted beans,2,25,0.684,2.530,2.596
Roasted beans,2,25,0.693,2.550,2.617
Roasted beans,2,25,0.700,2.580,2.648
Roasted beans,2,25,0.708,2.620,2.690
Roasted beans,2,25,0.717,2.630,2.701
Roasted beans,2,25,0.725,2.650,2.722
Roasted beans,2,25,0.734,2.700,2.775
Roasted beans,2,25,0.741,2.730,2.807
Roasted beans,2,25,0.750,2.770,2.849
Roasted beans,2,25,0.757,2.820,2.902
Roasted beans,2,25,0.766,2.880,2.965
Roasted beans,2,25,0.774,2.940,3.029
Roasted beans,2,25,0.782,3.010,3.103
Roasted beans,2,25,0.790,3.090,3.189
Roasted beans,2,25,0.798,3.170,3.274
Roasted beans,2,25,0.813,3.200,3.306
Roasted beans,2,25,0.821,3.220,3.327
Roasted beans,2,25,0.827,3.280,3.391
Roasted beans,2,25,0.835,3.290,3.402
Roasted beans,2,25,0.843,3.320,3.434
Roasted beans,2,25,0.851,3.400,3.520
Roasted beans,2,25,0.857,3.540,3.670
Roasted beans,2,25,0.865,3.700,3.842
Roasted beans,2,25,0.872,3.900,4.058
Roasted beans,2,25,0.879,4.130,4.308
Roasted beans,2,25,0.883,4.410,4.613
Roasted beans,2,25,0.887,4.800,5.042
Roasted beans,2,25,0.888,5.350,5.652
Roasted beans,2,25,0.889,6.210,6.621
Roasted beans,2,25,0.890,6.850,7.354
Roasted beans,2,25,0.890,7.120,7.666
Roasted beans,2,25,0.890,7.410,8.003
Roasted beans,2,25,0.891,8.030,8.731
Roasted beans,2,25,0.894,8.220,8.956
Roasted beans,2,25,0.896,9.010,9.902
Roasted beans,3,25,0.098,2.320,2.375
Roasted beans,3,25,0.148,2.340,2.396
Roasted beans,3,25,0.246,2.220,2.270
Roasted beans,3,25,0.336,2.230,2.281
Roasted beans,3,25,0.395,2.240,2.291
Roasted beans,3,25,0.447,2.240,2.291
Roasted beans,3,25,0.490,2.240,2.291
Roasted beans,3,25,0.524,2.260,2.312
Roasted beans,3,25,0.551,2.280,2.333
Roasted beans,3,25,0.575,2.290,2.344
Roasted beans,3,25,0.588,2.310,2.365
Roasted beans,3,25,0.601,2.320,2.375
Roasted beans,3,25,0.611,2.310,2.365
Roasted beans,3,25,0.620,2.350,2.407
Roasted beans,3,25,0.626,2.310,2.365
Roasted beans,3,25,0.641,2.360,2.417
Roasted beans,3,25,0.646,2.380,2.438
Roasted beans,3,25,0.652,2.410,2.470
Roasted beans,3,25,0.660,2.440,2.501
Roasted beans,3,25,0.669,2.450,2.512
Roasted beans,3,25,0.677,2.380,2.438
Roasted beans,3,25,0.685,2.390,2.449
Roasted beans,3,25,0.691,2.400,2.459
Roasted beans,3,25,0.699,2.420,2.480
Roasted beans,3,25,0.707,2.440,2.501
Roasted beans,3,25,0.715,2.450,2.512
Roasted beans,3,25,0.722,2.470,2.533
Roasted beans,3,25,0.731,2.480,2.543
Roasted beans,3,25,0.739,2.500,2.564
Roasted beans,3,25,0.747,2.530,2.596
Roasted beans,3,25,0.756,2.560,2.627
Roasted beans,3,25,0.763,2.600,2.669
Roasted beans,3,25,0.770,2.650,2.722
Roasted beans,3,25,0.777,2.670,2.743
Roasted beans,3,25,0.786,2.680,2.754
Roasted beans,3,25,0.794,2.790,2.870
Roasted beans,3,25,0.804,2.790,2.870
Roasted beans,3,25,0.813,2.870,2.955
Roasted beans,3,25,0.821,2.990,3.082
Roasted beans,3,25,0.827,3.080,3.178
Roasted beans,3,25,0.835,3.190,3.295
Roasted beans,3,25,0.843,3.320,3.434
Roasted beans,3,25,0.851,3.400,3.520
Roasted beans,3,25,0.857,3.540,3.670
Roasted beans,3,25,0.865,3.700,3.842
Roasted beans,3,25,0.872,3.900,4.058
Roasted beans,3,25,0.879,4.130,4.308
Roasted beans,3,25,0.883,4.410,4.613
Roasted beans,3,25,0.887,4.800,5.042
Roasted beans,3,25,0.888,5.350,5.652
Roasted beans,3,25,0.889,6.210,6.621
Roasted beans,3,25,0.890,6.850,7.354
Roasted beans,3,25,0.890,7.320,7.898
Roasted beans,3,25,0.890,7.710,8.354
Roasted beans,3,25,0.891,8.030,8.731
Roasted beans,3,25,0.894,8.620,9.433
Roasted beans,3,25,0.896,9.260,10.205
Roasted beans,1,35,0.104,2.260,2.312
Roasted beans,1,35,0.164,2.150,2.197
Roasted beans,1,35,0.298,2.180,2.229
Roasted beans,1,35,0.385,2.200,2.249
Roasted beans,1,35,0.442,2.220,2.270
Roasted beans,1,35,0.482,2.230,2.281
Roasted beans,1,35,0.510,2.240,2.291
Roasted beans,1,35,0.533,2.250,2.302
Roasted beans,1,35,0.546,2.250,2.302
Roasted beans,1,35,0.563,2.250,2.302
Roasted beans,1,35,0.574,2.260,2.312
Roasted beans,1,35,0.583,2.270,2.323
Roasted beans,1,35,0.590,2.290,2.344
Roasted beans,1,35,0.596,2.310,2.365
Roasted beans,1,35,0.599,2.310,2.365
Roasted beans,1,35,0.616,2.320,2.375
